user_id,song_index,spotify_id,Arousal,Valence,GEMS_Wonder,GEMS_Transcendence,GEMS_Tenderness,GEMS_Nostalgia,GEMS_Peacefulness,GEMS_Power,GEMS_Joyful Activation,GEMS_Tension,GEMS_Sadness
1,0,1fu5IQSRgPxJL2OTP7FVLW,0.31,0.37,0.5,1.0,0.75,0.75,0.5,0.25,0.25,0.0,0.5
1,1,7rbECVPkY5UODxoOUVKZnA,0.71,0.42,0.0,0.25,0.0,0.0,0.0,0.75,1.0,0.25,0.0
1,2,5t9KYe0Fhd5cW6UYT4qP8f,0.56,0.71,0.0,0.0,0.5,0.25,0.75,0.5,0.75,0.0,0.0
1,3,4HHge4zAyIw3pkrtFzmwCl,0.58,0.07,0.25,0.25,0.25,1.0,0.25,0.25,0.0,0.75,1.0
1,4,2KzV3VG27vIp7roOS3N4kX,0.44,0.3,0.5,0.25,0.0,0.5,0.25,0.5,0.25,0.0,0.25
1,5,5qlJg0Wbj3sslxfwiaRNpq,0.38,0.5,0.25,0.25,0.0,0.25,0.5,0.75,0.25,0.0,0.0
1,6,4lnnde7PnrXR3pUzQKBe6X,0.76,0.55,0.75,0.5,0.0,0.0,0.0,1.0,0.75,0.25,0.0
1,7,6eN1f9KNmiWEhpE2RhQqB5,0.87,0.73,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,8,6UBjSnyP1O5W5ndJoO9vUk,0.43,0.65,0.0,0.0,0.25,0.25,0.75,0.5,0.75,0.0,0.0
1,9,5FoeE0CWMs0CbX0udYutDS,0.45,0.46,0.0,0.25,0.25,1.0,0.25,0.25,0.25,0.5,0.25
1,10,6mYrhCAGWzTdF8QnKuchXM,0.64,0.42,0.25,0.25,0.0,0.5,0.0,0.75,0.5,0.25,0.25
1,11,459h0Mh30C82Z1lhk41yYK,0.87,0.67,0.5,0.5,0.0,0.5,0.0,1.0,1.0,0.25,0.0
1,12,64Ny7djQ6rNJspquof2KoX,0.6,0.81,0.0,0.0,0.25,0.25,0.25,0.75,1.0,0.0,0.0
1,13,5pkd9ib1RgbkAd1R9bIOCa,0.38,0.46,0.0,0.0,0.25,0.5,0.5,0.5,0.5,0.25,0.0
1,14,0qxYx4F3vm1AOnfux6dDxP,0.39,0.61,0.0,0.0,0.25,0.25,0.0,0.5,0.5,0.0,0.0
