 ,A_No,pos,artist_name,track_name,album_name,duration_m_s,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,spotify_id,id,genres
1,1,,The Beatles,Let It Be - Remastered 2009,,4:03,0.44,0.4,C,-8,major,0.03,0.63,0,0.11,0.41,143,78,7iN1s7xHE4ifF5povM6A48,,"classic rock, psychedelic rock"
2,1,,The Beatles,Here Comes The Sun - Remastered 2009,,3:06,0.56,0.54,A,-10,major,0.03,0.03,0,0.18,0.39,129,86,6dGnYIeXmHdcikdzNNDMm2,,"classic rock, psychedelic rock"
3,1,,The Beatles,I Want To Hold Your Hand - Remastered 2015,,2:26,0.49,0.72,G,-6,major,0.05,0.39,0,0.31,0.87,131,65,4pbG9SUmWIvsROVLF0zF9s,,"classic rock, psychedelic rock"
4,1,,The Beatles,Yesterday - Remastered - Remastered 2009,,2:06,0.33,0.18,F,-12,major,0.03,0.88,0,0.09,0.32,97,78,3BQHpFgAp4l80e1XslIjNI,,"classic rock, psychedelic rock"
5,1,,The Beatles,Eleanor Rigby - Remastered 2009,,2:07,0.58,0.28,E,-9,minor,0.04,0.94,0,0.31,0.81,138,69,5GjPQ0eI7AgmOnADn1EO6Q,,"classic rock, psychedelic rock"
6,2,,The Rolling Stones,Sympathy For The Devil,,6:18,0.57,0.68,A,-11,major,0.26,0.58,0,0.04,0.61,114,53,75zMKn5euxQdlkZgu4P42J,,"classic rock, rock"
7,2,,The Rolling Stones,Beast Of Burden - Remastered 1994,,4:25,0.78,0.88,C#,-4,minor,0.03,0.39,0,0.04,0.89,101,76,77oU2rjC5XbjQfNe3bD6so,,"classic rock, rock"
8,2,,The Rolling Stones,Memory Motel - Remastered,,7:08,0.36,0.62,F,-6,major,0.04,0.78,0,0.15,0.38,81,42,744hdHz3CORMz3FcU230C4,,"classic rock, rock"
9,2,,The Rolling Stones,I Am Waiting,,3:11,0.63,0.4,C,-15,major,0.04,0.57,0,0.08,0.6,89,40,0JuW3zVUYjyW5BbtXq2to6,,"classic rock, rock"
10,3,,Elton John,Tiny Dancer,Madman Across The Water,6:17,0.41,0.43,C,-11,major,0.03,0.38,0,0.15,0.28,145,79,2TVxnKdb3tqe1nhQWwwZCO,,No genre info
11,3,,Elton John,Your Song,Elton John,4:01,0.55,0.32,Eb,-11,major,0.03,0.83,0,0.1,0.32,128,80,38zsOOcu31XbbYj9BIPUF1,,No genre info
12,3,,Elton John,Don't Go Breaking My Heart,,4:35,0.73,0.84,F,-9,major,0.03,0.15,0,0.06,0.78,131,79,7HW5WIw7ZgZORCzUxv5gW5,,No genre info
13,3,,Elton John,Can You Feel The Love Tonight,,4:00,0.3,0.37,Bb,-9,major,0.03,0.82,0,0.1,0.15,122,58,0EANX0OVKSCcmarY50Xa4p,,No genre info
14,4,,Mariah Carey,Infinity,,4:00,0.55,0.81,C#,-4,major,0.09,0.05,0,0.28,0.22,135,28,3qczyRtur0tILibW9rHBFA,,christmas
15,4,,Mariah Carey,Touch My Body,,3:25,0.71,0.67,E,-8,minor,0.05,0.1,0,0.23,0.84,79,76,2aEuXA1KswHlCGPOuPmCOW,,christmas
16,4,,Mariah Carey,Always Be My Baby,,4:18,0.65,0.53,E,-8,major,0.04,0.46,0,0.25,0.49,79,75,2aBxt229cbLDOvtL7Xbb9x,,christmas
17,4,,Mariah Carey,We Belong Together,,3:21,0.83,0.47,C,-8,major,0.06,0.03,0,0.09,0.77,140,74,4EI8VuxUuIHKfafU72emqz,,christmas
18,5,,Madonna,Like A Prayer,Celebration (double disc version),5:42,0.63,0.84,F,-5,major,0.04,0.26,0,0.18,0.26,111,76,1z3ugFmUKoCzGsI6jdY4Ci,,No genre info
19,5,,Madonna,Like A Virgin,,3:39,0.77,0.66,D#,-11,minor,0.04,0.15,0,0.07,0.97,120,73,1ZPlNanZsJSPK5h9YZZFbZ,,No genre info
20,5,,Madonna,Vogue,,5:17,0.74,0.88,F#,-6,major,0.04,0.01,0,0.42,0.33,116,68,27QvYgBk0CHOVHthWnkuWt,,No genre info
21,5,,Madonna,Music,,3:46,0.74,0.8,G,-9,major,0.07,0.01,0.09,0.14,0.87,120,48,2fzykVsO2Di5jnofUNX3YE,,No genre info
22,6,,Barbra Streisand,Till I Loved You,,4:17,0.53,0.46,G,-8,major,0.03,0.62,0,0.14,0.34,107,45,4xnp5cvuGKQGwuIRHCTUzh,,adult standards
23,6,,Barbra Streisand,Woman In Love,,3:52,0.47,0.28,D#,-16,minor,0.03,0.25,0,0.13,0.33,170,67,1pTGc8pwyo6xtgXBKCBcFn,,adult standards
24,6,,Barbra Streisand,The Way We Were,,3:31,0.26,0.32,A,-12,major,0.03,0.89,0,0.13,0.17,138,60,1vZTgn4JXWMahR8r99ug5H,,adult standards
25,6,,Barbra Streisand & Neil Diamond,You Don't Bring Me Flowers,,3:15,0.16,0.12,C,-18,major,0.04,0.88,0,0.16,0.24,67,54,7qmqeHzgNQTOnl1NUgRFO4,,adult standards
